33.6145	828.14	2555.56	
33.7952	831.073	2555.64	
33.9759	833.664	2555.62	
34.1566	836.208	2555.55	
34.3373	839.153	2555.47	
34.5181	842.975	2555.44	
34.6988	847.089	2555.52	
34.8795	851.178	2555.65	
35.0602	855.152	2555.71	
35.241	858.918	2555.56	
35.4217	862.684	2555.08	
35.6024	866.418	2554.44	
35.7831	870.13	2553.73	
35.9639	873.843	2551.28	
36.1446	877.827	2548.84	
36.3253	881.794	2548.41	
36.506	885.754	2548.02	
36.6867	889.642	2547.64	
36.8675	882.537	2547.29	
37.0482	875.388	2546.88	
37.2289	878.905	2546.41	
37.4096	882.688	2545.86	
37.5904	886.411	2545.27	
37.7711	890.073	2544.64	
37.9518	893.425	2543.98	
38.1325	896.491	2543.31	
38.3133	899.498	2542.62	
38.494	902.512	2541.91	
38.6747	905.471	2541.16	
38.8554	908.461	2540.36	
39.0361	903.446	2539.53	
39.2169	898.315	2538.65	
39.3976	901.277	2537.73	
39.5783	903.887	2536.76	
39.759	905.849	2535.77	
39.9398	907.618	2534.77	
40.1205	909.715	2533.78	
40.3012	911.89	2526.81	
40.4819	913.89	2518.89	
40.6627	915.537	2517	
40.8434	916.602	2514.64	
41.0241	917.292	2511.76	
41.2048	907.037	2508.33	
41.3855	896.313	2504.33	
41.5663	895.861	2499.71	
41.747	895.18	2494.24	
41.9277	894.29	2487.75	
42.1084	892.811	2479.79	
42.2892	890.737	2469.84	
42.4699	887.597	2458.31	
42.6506	883.296	2445.34	
42.8313	878.03	2430.18	
43.012	872.159	2414.24	
43.1928	864.947	2396.5	
43.3735	856.451	2375.14	
43.5542	846.682	2346.11	
43.7349	833.841	2308.51	
43.9157	819.113	2257.63	
44.0964	802.681	2193.38	
44.2771	784.621	2117.04	
44.4578	762.768	1977.16	
44.6386	749.521	1778.34	
44.8193	755.155	1543.27	
45	799.533	1321.82	
